,gene
1718,GRB10
1719,GRB14
1720,RAPGEF1
1721,GRIA1
1722,GRIA2
1723,GRIA3
1724,GRIA4
1725,GRID2
1726,GRN
1727,GRIK1
1728,GRIK2
1729,GRIK3
1730,GRIK4
1731,GRIK5
1732,GRIN1
1733,GRIN2A
1734,GRIN2B
1735,GRIN2C
1736,GRINA
1737,NR3C1
1738,GRM1
1739,GRM2
1740,GRM3
1741,GRM4
1742,GRM5
1743,GRM6
1744,GRM7
1745,GRM8
1746,CXCL1
1747,CXCL2
1748,CXCL3
1749,GRP
1750,PDIA3
1751,GRPR
1752,GRSF1
1753,GSK3A
1754,GSK3B
1755,GSN
1756,GSPT1
1757,GSR
1758,GSS
1759,GSTA1
1760,GSTA3
1761,GSTA4
1762,GSTM3
1763,GSTM4
1764,GSTM5
1765,GSTP1
1766,GSTZ1
1767,MSH6
1768,GTF2A1
1769,GTF2A2
1770,GTF2B
1771,GTF2E1
