,Unnamed: 0,Approved symbol,Alias symbol,Ensembl gene ID
1102,2178.0,APOL3,APOLIII,ENSG00000128284
1103,2181.0,APOL6,APOL-VI,ENSG00000221963
1104,2182.0,APOL6,APOLVI,ENSG00000221963
1105,2183.0,APOLD1,FLJ25138,ENSG00000178878
1106,2184.0,APOLD1,DKFZP434F0318,ENSG00000178878
1107,2185.0,APOM,G3a,ENSG00000204444
1108,2186.0,APOM,NG20,ENSG00000204444
1109,2188.0,APOO,MGC4825,ENSG00000184831
1110,2189.0,APOO,My025,ENSG00000184831
1111,2190.0,APOO,Mic23,ENSG00000184831
1112,2191.0,APOO,MIC26,ENSG00000184831
1113,2192.0,APOO,MICOS26,ENSG00000184831
1114,2193.0,APOOL,UNQ8193,ENSG00000155008
1115,2194.0,APOOL,AAIR8193,ENSG00000155008
1116,2195.0,APOOL,Mic27,ENSG00000155008
1117,2196.0,APOOL,MICOS27,ENSG00000155008
1118,2202.0,APP,,ENSG00000142192
1119,2204.0,APPBP2,KIAA0228,ENSG00000062725
1120,2205.0,APPBP2,Hs.84084,ENSG00000062725
1121,2206.0,APPBP2,PAT1,ENSG00000062725
